recordId,fileName,pageNumber,piiType,confidence,x,y,width,height,text,reasoning
1,police_report_001.pdf,1,SSN,0.95,150,200,120,15,"123-45-6789","Pattern matches XXX-XX-XXXX format"
1,police_report_001.pdf,1,PHONE,0.88,275,200,100,15,"(555) 123-4567","Pattern matches US phone number format"
1,police_report_001.pdf,1,ADDRESS,0.82,150,250,200,30,"123 Main St, Anytown, CA 90210","Contains street address components"
1,police_report_001.pdf,2,PERSON_NAME,0.91,100,150,150,15,"John Michael Smith","Named entity recognition - person"
1,police_report_001.pdf,2,EMAIL,0.89,300,300,180,15,"john.smith@email.com","Pattern matches email format"
2,incident_report_002.pdf,1,SSN,0.93,180,180,120,15,"987-65-4321","Pattern matches XXX-XX-XXXX format"
2,incident_report_002.pdf,1,DOB,0.87,200,220,80,15,"01/15/1985","Date pattern suggesting birth date"
2,incident_report_002.pdf,2,DRIVERS_LICENSE,0.84,150,400,100,15,"D1234567","State ID format pattern"
3,witness_statement_003.pdf,1,PERSON_NAME,0.90,120,120,140,15,"Sarah Jennifer Davis","Named entity recognition - person"
3,witness_statement_003.pdf,1,PHONE,0.85,280,160,100,15,"(555) 987-6543","Pattern matches US phone number format"
3,witness_statement_003.pdf,2,ADDRESS,0.79,100,300,220,40,"456 Oak Avenue, Apartment 2B, Springfield, IL 62701","Contains street address components"
4,financial_records_004.pdf,1,ACCOUNT_NUMBER,0.92,200,250,140,15,"ACCT-7890123456","Financial account pattern"
4,financial_records_004.pdf,1,SSN,0.96,150,300,120,15,"555-44-3333","Pattern matches XXX-XX-XXXX format"
4,financial_records_004.pdf,2,ROUTING_NUMBER,0.88,175,200,100,15,"123456789","Bank routing number pattern"
5,medical_records_005.pdf,1,SSN,0.94,160,160,120,15,"777-88-9999","Pattern matches XXX-XX-XXXX format"
5,medical_records_005.pdf,1,MEDICAL_ID,0.86,200,200,100,15,"MID-123456","Medical identifier pattern"
5,medical_records_005.pdf,2,PERSON_NAME,0.89,100,100,160,15,"Robert William Johnson","Named entity recognition - person"
5,medical_records_005.pdf,2,DOB,0.91,250,140,80,15,"03/22/1972","Date pattern suggesting birth date"
